Time	Charge	Current	CapacitorEnergy	InductorEnergy	TotalEnergy	DissipatedPower
0	0	0	0	0	0	0
5.02377286301916e-07	1.26189355705128e-11	5.02364667155029e-05	7.96187674663766e-20	1.26185129402892e-10	1.2618512948251e-10	2.52370258805783e-08
1.00475457260383e-06	5.04748970056794e-11	0.000100470409601632	1.27385761386697e-18	5.04715160275981e-10	5.04715161549839e-10	1.00943032055196e-07
1.50713185890575e-06	1.13566616390949e-10	0.000150701828658396	6.44868817924449e-18	1.13555205804922e-09	1.13555206449791e-09	2.27110411609844e-07
2.00950914520766e-06	2.0189282581178e-10	0.000200930723885811	2.03803565571329e-17	2.0186577900638e-09	2.01865781044416e-09	4.0373155801276e-07
4.52139557671724e-06	1.02199684644493e-09	0.000452037342583659	5.22238777071695e-16	1.02168879545048e-08	1.02168884767436e-08	2.04337759090097e-06
7.03328200822682e-06	2.47277293079269e-09	0.00070308086555384	3.05730298363053e-15	2.47161351753968e-08	2.47161382326998e-08	4.94322703507937e-06
9.5451684397364e-06	4.55406258956098e-09	0.000954061292805506	1.03697430348194e-14	4.55116475214857e-08	4.55116578912287e-08	9.10232950429714e-06
1.2057054871246e-05	7.26570733349177e-09	0.00120497862435179	2.6395251527978e-14	7.25986742572368e-08	7.25987006524883e-08	1.45197348514474e-05
2.46164870287939e-05	3.02737102213243e-08	0.00245861884723928	4.58248765282358e-13	3.02240331800009e-07	3.02240790048774e-07	6.04480663600018e-05
3.71759191863418e-05	6.90168168754634e-08	0.00371068168174843	2.38166050581063e-12	6.88457927163167e-07	6.88460308823673e-07	0.000137691585432633
4.97353513438897e-05	1.23475216221476e-07	0.00496116713399108	7.62306451047014e-12	1.23065896656966e-06	1.23066658963417e-06	0.000246131793313933
6.22947835014376e-05	1.93629097302368e-07	0.00621007521255549	1.8746113661065e-11	1.92825170727981e-06	1.92827045339347e-06	0.000385650341455961
0.000125091944289177	7.79137392097088e-07	0.0124309554703218	3.03527537881925e-10	7.72643269525622e-06	7.7267362227941e-06	0.00154528653905124
0.000187889105076917	1.75406117030111e-06	0.0186124040966599	1.53836529457905e-09	1.73210793128681e-05	1.73226176781627e-05	0.00346421586257363
0.000250686265864656	3.11592432449121e-06	0.0247544249377934	4.85449219797801e-09	3.06390777000425e-05	3.06439321922405e-05	0.0061278155400085
0.000313483426652396	4.8622511165329e-06	0.0308570233580235	1.18207429601127e-08	4.76077945258803e-05	4.76196152688404e-05	0.00952155890517606
0.000627469230591093	1.92743408697271e-05	0.060778961228109	1.85750107981217e-07	0.000184704106398399	0.00018488985650638	0.0369408212796798
0.000941455034529791	4.29269177085481e-05	0.0897170109283838	9.21360131978232e-07	0.000402457102496187	0.000403378462628165	0.0804914204992373
0.00125544083846849	7.5511302114344e-05	0.117673509411649	2.85097837350187e-06	0.000692352740862674	0.000695203719236176	0.138470548172535
0.00156942664240719	0.000116719957573554	0.144651649839781	6.81177424798611e-06	0.00104620499006853	0.00105301676431652	0.209240998013706
0.00288121549962995	0.000375545224026531	0.246870559109509	7.05171076445685e-05	0.00304725364775207	0.00311777075539664	0.609450729550414
0.00419300435685271	0.000757481800836524	0.33255286660844	0.000286889339299272	0.00552957045447455	0.00581645979377382	1.10591409089491
0.00550479321407547	0.00124105264264753	0.40236308389764	0.000770105830911209	0.00809480256418098	0.00886490839509219	1.6189605128362
0.00681658207129823	0.00180621339897189	0.457110482250231	0.0016312034213128	0.0104474996491519	0.0120787030704647	2.08949992983039
0.00828306910731075	0.0025114895853477	0.501647316209238	0.00315378996865499	0.0125825014929966	0.0157362914616516	2.51650029859931
0.00974955614332328	0.00327003693940483	0.530101086906961	0.00534657079253606	0.0140503581169971	0.0193969289095331	2.81007162339941
0.0112160431793358	0.00405920484137781	0.544121209532047	0.00823857197213253	0.0148033945331309	0.0230419665052634	2.96067890662618
0.0126825302153483	0.00485931787030625	0.545365147330995	0.0118064850823388	0.0148711571961679	0.0266776422785067	2.97423143923358
0.0145619333325624	0.00587362664337243	0.530932372488292	0.0172497449728672	0.0140944592078023	0.0313442041806696	2.81889184156047
0.0164413364497766	0.00684658064293337	0.501944123951123	0.023437833250095	0.012597395178453	0.036035228428548	2.5194790356906
0.0183207395669907	0.00775354183992638	0.461907152602169	0.0300587055317444	0.0106679108812522	0.0407266164129966	2.13358217625044
0.0202001426842048	0.00857712230749181	0.413911547585202	0.0367835135388369	0.00856613846121885	0.0453496520000557	1.71322769224377
0.0221971088780649	0.00934774563508531	0.357312519634589	0.0436901742291282	0.00638361183438093	0.0500737860635092	1.27672236687619
0.024194075071925	0.0100024245843323	0.298095864441095	0.0500242487826279	0.00444305721984417	0.0544673060024721	0.888611443968835
0.0261910412657851	0.0105385599736475	0.238938292144135	0.0555306231590829	0.00285457537263781	0.0583851985317207	0.570915074527562
0.0281880074596453	0.0109581996419615	0.181894003531922	0.0600410696965421	0.00165427142604354	0.0616953411225857	0.330854285208708
0.0304380083534978	0.0112984829192247	0.122134793205343	0.0638278581380062	0.0007458453855656	0.0645737035235718	0.14916907711312
0.0326880092473503	0.0115117233344784	0.0689044381440144	0.066259887064787	0.000237391079797115	0.0664972781445841	0.047478215959423
0.0349380101412028	0.0116145307541923	0.0233318354963708	0.0674486623200394	2.72187273814854e-05	0.0674758810474209	0.00544374547629708
0.0371880110350554	0.0116238336844019	-0.0141008029786572	0.0675567547613182	9.9416322321454e-06	0.0675666963935503	0.00198832644642908
0.0390451469548074	0.01157359981629	-0.0388478882392883	0.0669741063538137	7.54579210326116e-05	0.0670495642748463	0.0150915842065223
0.0409022828745594	0.0114825407379308	-0.0581850944044729	0.0659243708991204	0.000169275260542871	0.0660936461596633	0.0338550521085742
0.0427594187943114	0.011360660110632	-0.07243229715307	0.0645322990746525	0.000262321883543532	0.0647946209581961	0.0524643767087063
0.0446165547140634	0.0112167631896606	-0.081991620865866	0.0629078882264631	0.000336131294610595	0.0632440195210736	0.0672262589221191
0.0464736906338153	0.0110588111852381	-0.0873390464888226	0.0611486524153737	0.000381405452078836	0.0615300578674526	0.0762810904157671
0.0483308265535673	0.0108944198068961	-0.0890424705481351	0.0593441914644451	0.000396428078065775	0.0597406195425109	0.079285615613155
0.0501879624733193	0.0107299717772526	-0.0876799492609194	0.0575661471703184	0.00038438867511987	0.0579505358454383	0.076877735023974
0.0520450983930713	0.0105705091828128	-0.0837980347636702	0.0558678321919652	0.000351105531512664	0.0562189377234779	0.0702211063025327
0.0539151921446663	0.0104190435253971	-0.0778791417411466	0.0542782339920599	0.00030325803591688	0.0545814920279768	0.060651607183376
0.0557852858962613	0.0102800851690674	-0.0704951111671763	0.0528400755416397	0.000248478034923627	0.0530885535765633	0.0496956069847255
0.0576553796478563	0.0101559598235013	-0.0621417645571363	0.0515717599682864	0.000193079945113728	0.0517648399134001	0.0386159890227456
0.0595254733994513	0.0100480576376087	-0.0532385679557972	0.0504817311443528	0.000141717255899202	0.050623448400252	0.0283434511798404
0.0616162932154207	0.00994742168517366	-0.0430776187075765	0.0494755990913316	9.27840616757674e-05	0.0495683831530073	0.0185568123351535
0.06370711303139	0.00986782476920103	-0.0331418484771702	0.0486869828378287	5.49191060241853e-05	0.0487419019438528	0.0109838212048371
0.0657979328473593	0.00980839042666503	-0.0237897460766427	0.0481022613809471	2.82976009195569e-05	0.0481305589818667	0.00565952018391139
0.0678887526633286	0.0097677007059308	-0.015269337073791	0.0477039885403205	1.16576327336524e-05	0.0477156461730542	0.00233152654673048
0.0703270586026263	0.0097415039578922	-0.00660563729893035	0.0474484496808147	2.18172220625099e-06	0.047450631403021	0.000436344441250198
0.0727653645419239	0.00973451892556043	0.000530479174966954	0.0473804293560471	1.4070407753681e-08	0.0473804434264548	2.81408155073621e-06
0.0752036704812215	0.00974277251924737	0.00609177304880541	0.0474608081809009	1.8554849439076e-06	0.0474626636658448	0.00037109698878152
0.0776419764205192	0.00976270903388402	0.0101287889453233	0.0476552438401403	5.12961827494515e-06	0.0476603734584153	0.00102592365498903
0.0797266068556571	0.0097864731778808	0.0124604554146359	0.0478875286306902	7.7631474570065e-06	0.0478952917781472	0.0015526294914013
0.0818112372907949	0.00981410214450892	0.0138673250340159	0.0481583004514272	9.61513517995223e-06	0.0481679155866072	0.00192302703599045
0.0838958677259328	0.00984373266683152	0.0144724525582137	0.048449536408023	1.04725941524873e-05	0.0484600090021755	0.00209451883049746
0.0859804981610706	0.00987388492589449	0.0143985792100873	0.0487468017649032	1.03659541634579e-05	0.0487571677190666	0.00207319083269157
0.0878258422451142	0.00990003121043663	0.0138673736306492	0.0490053089838097	9.61520257060127e-06	0.0490149241863803	0.00192304051412025
0.0896711863291579	0.00992487053300256	0.0129961052297588	0.0492515275484312	8.44493755714817e-06	0.0492599724859884	0.00168898751142963
0.0915165304132014	0.0099478428023051	0.0118710015315122	0.0494797882096867	7.04603386805819e-06	0.0494868342435547	0.00140920677361164
0.093361874497245	0.00996855886893929	0.0105676683665003	0.0496860829617541	5.58378073521655e-06	0.0496916667424893	0.00111675614704331
0.0953821913324605	0.00998835247294025	0.00901638303670338	0.0498835925618458	4.06475815322763e-06	0.049887657319999	0.000812951630645525
0.0974025081676759	0.0100049558600981	0.00741704985436558	0.0500495708812561	2.75063142710723e-06	0.0500523215126832	0.000550126285421445
0.0994228250028913	0.0100183421142822	0.00583922289266947	0.0501835893593997	1.70482619951376e-06	0.0501852941855992	0.000340965239902752
0.101443141838107	0.0100286031276377	0.00433532284285437	0.0502864403458324	9.39751207588745e-07	0.05028738009704	0.000187950241517749
0.103720617517378	0.0100366518626866	0.0027781740204116	0.0503671903063853	3.85912544384496e-07	0.0503675762189297	7.71825088768993e-05
